model,nb_neurones_per_layers,nb_layers,future_temporal_horizon,activation,batchsize,future_delay,smoothing,subsampling_dt,state_configuration,data,data_dt,learning_rate,nb_collocations,seed,transfer_learning,train_on_collocation,ensemble_collocation,early_stopping,nb_epochs,training_name,pretrained_idx,status,training_idx
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,0
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,1
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,2
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,3
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,4
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,5
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,6
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,7
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,8
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,9
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,10
mlp,8,4,1.,tanh,512,0.05,0,0.05,dof2,february_2024,0.005,0.001,50000,43,0,1,1,1,1500,training_pretrainned_dof2,,,11
